1	 -1	 1	 1.00	  0.00	 0.00	 
2	 1	 2	 1.00	  -1.00	 60.00	 
3	 2	 3	 1.00	  -1.00	 60.00	 
4	 3	 4	 1.00	  -1.00	 60.00	 
5	 4	 5	 1.00	  -1.00	 60.00	 
6	 5	 6	 1.00	  -1.00	 60.00	 
7	 6	 7	 1.00	  -1.00	 60.00	 
8	 7	 8	 1.00	  -1.00	 60.00	 
9	 8	 9	 1.00	  -1.00	 60.00	 
10	 9	 10	 1.00	  -1.00	 60.00	 
11	 10	 11	 1.00	  -1.00	 60.00	 
12	 11	 12	 1.00	  -1.00	 60.00	 
13	 12	 13	 1.00	  -1.00	 60.00	 
14	 13	 14	 1.00	  -1.00	 60.00	 
15	 14	 15	 1.00	  -1.00	 60.00	 
16	 15	 -1	 1.00	  -1.00	 0.00	 
17	 -1	 1	 1.00	  0.00	 0.00	 
18	 1	 -1	 1.00	  0.00	 0.00	 
19	 -1	 2	 1.00	  0.00	 0.00	 
20	 2	 -1	 1.00	  0.00	 0.00	 
21	 -1	 3	 1.00	  0.00	 0.00	 
22	 3	 -1	 1.00	  0.00	 0.00	 
23	 -1	 4	 1.00	  0.00	 0.00	 
24	 4	 -1	 1.00	  0.00	 0.00	 
25	 -1	 5	 1.00	  0.00	 0.00	 
26	 5	 -1	 1.00	  0.00	 0.00	 
27	 -1	 6	 1.00	  0.00	 0.00	 
28	 6	 -1	 1.00	  0.00	 0.00	 
29	 -1	 7	 1.00	  0.00	 0.00	 
30	 7	 -1	 1.00	  0.00	 0.00	 
31	 -1	 8	 1.00	  0.00	 0.00	 
32	 8	 -1	 1.00	  0.00	 0.00	 
33	 -1	 9	 1.00	  0.00	 0.00	 
34	 9	 -1	 1.00	  0.00	 0.00	 
35	 -1	 10	 1.00	  0.00	 0.00	 
36	 10	 -1	 1.00	  0.00	 0.00	 
37	 -1	 11	 1.00	  0.00	 0.00	 
38	 11	 -1	 1.00	  0.00	 0.00	 
39	 -1	 12	 1.00	  0.00	 0.00	 
40	 12	 -1	 1.00	  0.00	 0.00	 
41	 -1	 13	 1.00	  0.00	 0.00	 
42	 13	 -1	 1.00	  0.00	 0.00	 
43	 -1	 14	 1.00	  0.00	 0.00	 
44	 14	 -1	 1.00	  0.00	 0.00	 
45	 -1	 15	 1.00	  0.00	 0.00	 
46	 15	 -1	 1.00	  -1.00	 0.00	 
