 id node (1st cllm), stage actuation duration idle time L (next colms),  cycle duration T  (last col)	 
37593.00	 10.00	 1.00	 10.00	 1.00	 10.00	 1.00	 10.00	 1.00	 10.00	 1.00	 10.00	 1.00	 10.00	 1.00	 12.00	 1.00	 90.00	 
49394.00	 10.00	 1.00	 10.00	 1.00	 10.00	 1.00	 10.00	 1.00	 10.00	 1.00	 10.00	 1.00	 10.00	 1.00	 12.00	 1.00	 90.00	 
37605.00	 10.00	 1.00	 10.00	 1.00	 10.00	 1.00	 10.00	 1.00	 10.00	 1.00	 10.00	 1.00	 10.00	 1.00	 12.00	 1.00	 90.00	 
49395.00	 10.00	 1.00	 10.00	 1.00	 10.00	 1.00	 10.00	 1.00	 10.00	 1.00	 10.00	 1.00	 10.00	 1.00	 12.00	 1.00	 90.00	 
37607.00	 10.00	 1.00	 10.00	 1.00	 10.00	 1.00	 10.00	 1.00	 10.00	 1.00	 10.00	 1.00	 10.00	 1.00	 12.00	 1.00	 90.00	 
37872.00	 10.00	 1.00	 10.00	 1.00	 10.00	 1.00	 10.00	 1.00	 10.00	 1.00	 10.00	 1.00	 10.00	 1.00	 12.00	 1.00	 90.00	 
48494.00	 10.00	 1.00	 10.00	 1.00	 10.00	 1.00	 10.00	 1.00	 10.00	 1.00	 10.00	 1.00	 10.00	 1.00	 12.00	 1.00	 90.00	 
37606.00	 10.00	 1.00	 10.00	 1.00	 10.00	 1.00	 10.00	 1.00	 10.00	 1.00	 10.00	 1.00	 10.00	 1.00	 12.00	 1.00	 90.00	 
37610.00	 10.00	 1.00	 10.00	 1.00	 10.00	 1.00	 10.00	 1.00	 10.00	 1.00	 10.00	 1.00	 10.00	 1.00	 12.00	 1.00	 90.00	 
48492.00	 10.00	 1.00	 10.00	 1.00	 10.00	 1.00	 10.00	 1.00	 10.00	 1.00	 10.00	 1.00	 10.00	 1.00	 12.00	 1.00	 90.00	 
49954.00	 10.00	 1.00	 10.00	 1.00	 10.00	 1.00	 10.00	 1.00	 10.00	 1.00	 10.00	 1.00	 10.00	 1.00	 12.00	 1.00	 90.00	 
48493.00	 10.00	 1.00	 10.00	 1.00	 10.00	 1.00	 10.00	 1.00	 10.00	 1.00	 10.00	 1.00	 10.00	 1.00	 12.00	 1.00	 90.00	 
37612.00	 10.00	 1.00	 10.00	 1.00	 10.00	 1.00	 10.00	 1.00	 10.00	 1.00	 10.00	 1.00	 10.00	 1.00	 12.00	 1.00	 90.00	 
