 id node (1st cllm), stage actuation duration idle time L (next colms),  cycle duration T  (last col)	 
37593.00	 13.60	 1.30	 13.60	 1.30	 13.60	 1.30	 13.60	 1.30	 13.60	 1.30	 14.00	 1.50	 90.00	 
49394.00	 13.60	 1.30	 13.60	 1.30	 13.60	 1.30	 13.60	 1.30	 13.60	 1.30	 14.00	 1.50	 90.00	 
37605.00	 13.60	 1.30	 13.60	 1.30	 13.60	 1.30	 13.60	 1.30	 13.60	 1.30	 14.00	 1.50	 90.00	 
49395.00	 13.60	 1.30	 13.60	 1.30	 13.60	 1.30	 13.60	 1.30	 13.60	 1.30	 14.00	 1.50	 90.00	 
37607.00	 13.60	 1.30	 13.60	 1.30	 13.60	 1.30	 13.60	 1.30	 13.60	 1.30	 14.00	 1.50	 90.00	 
37872.00	 13.60	 1.30	 13.60	 1.30	 13.60	 1.30	 13.60	 1.30	 13.60	 1.30	 14.00	 1.50	 90.00	 
48494.00	 13.60	 1.30	 13.60	 1.30	 13.60	 1.30	 13.60	 1.30	 13.60	 1.30	 14.00	 1.50	 90.00	 
37606.00	 13.60	 1.30	 13.60	 1.30	 13.60	 1.30	 13.60	 1.30	 13.60	 1.30	 14.00	 1.50	 90.00	 
37610.00	 13.60	 1.30	 13.60	 1.30	 13.60	 1.30	 13.60	 1.30	 13.60	 1.30	 14.00	 1.50	 90.00	 
48492.00	 13.60	 1.30	 13.60	 1.30	 13.60	 1.30	 13.60	 1.30	 13.60	 1.30	 14.00	 1.50	 90.00	 
49954.00	 13.60	 1.30	 13.60	 1.30	 13.60	 1.30	 13.60	 1.30	 13.60	 1.30	 14.00	 1.50	 90.00	 
48493.00	 13.60	 1.30	 13.60	 1.30	 13.60	 1.30	 13.60	 1.30	 13.60	 1.30	 14.00	 1.50	 90.00	 
37612.00	 13.60	 1.30	 13.60	 1.30	 13.60	 1.30	 13.60	 1.30	 13.60	 1.30	 14.00	 1.50	 90.00	 
